"Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev","2 nominations.",,警察游戏,USA,,,"Y:\Action 动作战争\Let's Be Cops 警察游戏 2014 6.7 动作喜剧 SDHF.mkv","Action, Comedy, Crime",tt1924435,,"Let's Be Cops",,"Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.","https://m.media-amazon.com/images/M/MV5BMjI3MDY2ODQwNF5BMl5BanBnXkFtZTgwNjUzNjE4MTE@._V1_SX300.jpg",6.4,104,,,"Let's Be Cops",,2014
"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre","Nominated for 3 Oscars. Another 4 wins.",,马耳他之鹰,USA,,,"Y:\Drama 剧情惊悚\The Maltese Falcon 马耳他之鹰 1941 8.4 黑色悬念 MiniSD.mkv","Film-Noir, Mystery",tt0033870,,"The Maltese Falcon",,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","https://m.media-amazon.com/images/M/MV5BZjIwNGM1ZTUtOThjYS00NDdiLTk2ZDYtNGY5YjJkNzliM2JjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg",8.0,100,,,"The Maltese Falcon",,1941
"Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska","Nominated for 4 Oscars. Another 29 wins & 129 nominations.",2.0803236E7,孩子们都很好,"USA, France",,,"Y:\Comedy 喜剧爱情\The Kids Are All Right 孩子们都很好 2010 7.6 喜剧 576p.mkv","Comedy, Drama, Romance",tt0842926,,"The Kids Are All Right",,"Two children conceived by artificial insemination bring their biological father into their non-traditional family life.","https://m.media-amazon.com/images/M/MV5BMjE4NTMwNDg5MF5BMl5BanBnXkFtZTcwNDY2ODE0Mw@@._V1_SX300.jpg",7.0,106,,,"The Kids Are All Right",,2010
"Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers","Nominated for 1 Oscar. Another 2 wins & 2 nominations.",,贵妇杀手,UK,,,"Y:\Comedy 喜剧爱情\The Ladykillers 贵妇杀手 1955 8.0 喜剧犯罪 MiniSD.mkv","Comedy, Crime",tt0048281,,"The Ladykillers",,"Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.","https://m.media-amazon.com/images/M/MV5BYTVlM2JmOGQtNWEwYy00NDQzLWIyZmEtOGZhMzgxZGRjZDA0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg",7.7,91,,,"The Ladykillers",,1955
"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal","3 wins & 5 nominations.",8.6198016E7,会计刺客,USA,,,"Y:\Action 动作战争\The Accountant 会计刺客 2016 7.4 剧情动作 SDHF.mkv","Action, Crime, Drama, Thriller",tt2140479,,"The Accountant",,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.","https://m.media-amazon.com/images/M/MV5BNDc5Mzg2NTYxNV5BMl5BanBnXkFtZTgwMjQ2ODAwOTE@._V1_SX300.jpg",7.3,128,,,"The Accountant",,2016
"Martin Balsam, Sô Yamamura, Jason Robards, Joseph Cotten","Won 1 Oscar. Another 1 win & 7 nominations.",,虎虎虎,"Japan, USA",,,"Y:\Action 动作战争\Tora! Tora! Tora! 虎虎虎 1970 7.5 动作冒险 720p.mkv","Action, Drama, History, War",tt0066473,,"Tora! Tora! Tora!",,"In 1941, following months of economic embargo, Japan prepares to open its war against the United States with a preventive attack on the US naval base at Pearl Harbor.","https://m.media-amazon.com/images/M/MV5BY2MyZWY2ZDAtOTM5ZC00NTM4LTgxNWYtYjBiMTFkNjFjNTM4XkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg",7.5,144,,,"Tora! Tora! Tora!",,1970
"Tadanobu Asano, Nao Ohmori, Shin'ya Tsukamoto, Paulyn Sun","6 wins & 4 nominations.",,杀手阿一,Japan,,,"Y:\Action 动作战争\Ichi The Killer 杀手阿一 2001 7.2 日本动作喜剧 MiniSD.mkv","Action, Comedy, Crime, Drama, Horror, Thriller",tt0296042,,"Ichi The Killer",,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of achieving.","https://m.media-amazon.com/images/M/MV5BNDZmOWE3M2YtMDNkNC00YzFmLTljZTItNTk3NTlkODIxNGE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg",7.0,129,,,"Ichi the Killer",,2001
"Til Schweiger, Nora Tschirner, Matthias Schweighöfer, Alwara Höfels","10 wins & 4 nominations.",,甜蜜幼儿园,Germany,,,"Y:\Comedy 喜剧爱情\Rabbit Without Ears 甜蜜幼儿园 2007 7.1 喜剧爱情 miniSD.mkv","Comedy, Romance",tt0960790,,"Rabbit Without Ears",,"Rainbow press reporter Ludo is sentenced to 8 months, but is released on probation. But he has to work 300 hours for a local daycare center and meets Anna who has unfinished business with him.","https://m.media-amazon.com/images/M/MV5BNzY2OTQ0MTk4N15BMl5BanBnXkFtZTcwOTM0MjU1MQ@@._V1_SX300.jpg",6.5,116,,,"Rabbit Without Ears",,2007
"Sean Bean, Danny Dyer, Aksel Hennie, Izabella Miko","2 nominations.",,英雄时代,UK,,,"Y:\Action 动作战争\Age of Heroes 英雄时代 2011 7.3 英国战争 MiniSD.mkv","Action, Adventure, Drama, Thriller, War",tt1590950,,"Age of Heroes",,"The true story of the formation of Ian Fleming's 30 Commando unit, a precursor for the elite forces in the U.K.","https://m.media-amazon.com/images/M/MV5BMjE2MzQ1MDA1M15BMl5BanBnXkFtZTcwNjUzMjEyNQ@@._V1_SX300.jpg",5.6,90,,,"Age of Heroes",,2011
"Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston","7 wins & 31 nominations.",1.72962992E8,哥斯拉,"USA, Japan",,,"Y:\Action 动作战争\Godzilla 哥斯拉 2014 7.0 动作科幻 SDHF.mkv","Action, Adventure, Sci-Fi, Thriller",tt0831387,,Godzilla,,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.","https://m.media-amazon.com/images/M/MV5BN2E4ZDgxN2YtZjExMS00MWE5LTg3NjQtNTkxMzJhOTA3MDQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg",6.4,123,,,Godzilla,,2014
